"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "PostCSS", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\README.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 14, 46
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\eslint.config.mjs", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\next.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 16
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\package-lock.json", "JSON", 0, 0, 0, 11975, 0, 0, 0, 0, 0, 0, 1, 11976
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\package.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\ClientLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 7, 30
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\AccountComponent\AccountComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\CalendarComponent\CalendarComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 11, 43, 142
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\CalendarComponent\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 4, 37
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\CalendarModal\CalendarModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 9, 47
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\HabitComponent\HabitCalendar\HabitCalendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\HabitComponent\HabitList\HabitList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 1, 22, 140
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\HabitComponent\page.css", "PostCSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\Login\Login.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\Login\LoginComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 22, 114
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\Login\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\OptionsMenu\OptionsMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 14, 60
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\SmileModalComponent\SmileModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 10, 55
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\TagModal\TagModalComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 27, 196
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\TaskComponent\ListModal\ListModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 19, 142
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\TaskComponent\TaskComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 3, 18, 77
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\TaskComponent\TaskDisplay\TaskCategoryImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 11, 37
"c:\Users\Nikola\Desktop\Djura\React\Task-Manager\src\app\components\TaskComponent\TaskDisplay\TaskDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 290, 0, 0, 0, 7, 98, 395
